request_id,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
req_000026,200000,2,2,2,28,0,1,0,0,0,-1,49987,60678,56219,49488,47206,41962,23917,1420,9228,19446,42301,30571
req_000027,60000,1,2,1,28,1,0,-2,0,1,1,49020,48759,0,37275,41163,31134,3083,30149,0,28140,1282,6078
req_000028,80000,1,4,1,23,0,0,0,0,0,0,46046,38240,44322,49571,51984,35904,38379,16246,41311,21002,44891,17337
req_000029,50000,1,1,1,26,0,1,1,0,-1,-1,7359,9395,8657,6834,8099,6784,3429,1329,892,5666,3315,4931
req_000030,260000,2,2,2,25,0,0,0,0,1,-2,136386,153216,135895,118566,105764,0,66939,94122,129787,105765,3062,0
req_000031,510000,2,2,1,27,-1,-1,-1,-1,0,0,232596,170125,145553,119573,170904,174424,115614,92792,92142,85629,167760,79445
req_000032,40000,2,2,2,26,0,0,0,0,1,1,10118,8932,10391,9022,9417,8403,3445,8462,9117,8122,3518,726
req_000033,90000,2,1,2,22,-1,0,-1,0,0,0,36787,37794,53526,40977,33600,28856,32750,18822,23682,40143,8082,19477
req_000034,110000,1,3,1,28,1,0,1,0,0,0,150555,110481,84748,91725,101228,80676,31937,84405,19560,40829,65370,58786
req_000035,160000,2,1,2,22,1,0,-2,1,-2,0,91025,98484,0,63944,0,61484,6507,52732,0,3961,0,25153
req_000036,500000,1,1,1,26,0,-1,-2,0,0,0,231184,185684,0,232560,210986,190133,67724,67639,0,199507,128728,81168
req_000037,40000,2,1,2,27,0,-2,0,-1,0,0,14183,0,15333,12299,12193,12487,8663,0,2446,9266,4826,4179
req_000038,270000,2,1,1,28,2,3,2,2,2,1,214130,176802,214648,162509,178497,198032,26366,45021,4315,2930,5206,30760
req_000039,120000,1,2,2,27,1,2,0,0,1,1,49776,46170,38527,39683,33916,44137,8983,5462,20993,20067,3925,7752
req_000040,220000,1,2,1,28,1,0,0,0,0,-1,123616,169361,135916,155188,164307,145862,23374,163181,78097,119805,120650,58591
req_000041,120000,2,1,2,28,0,-1,-1,0,-2,0,48392,47979,51158,49762,0,45400,47069,13168,23874,23074,0,19432
req_000042,80000,2,3,2,29,0,0,0,-1,-2,-1,9877,10211,11095,11848,0,11882,5798,3658,8928,9459,0,10058
req_000043,40000,1,2,2,29,0,-2,0,0,0,0,2383,0,2601,2451,2287,2309,1062,0,1959,994,2163,1676
req_000044,50000,2,2,2,29,0,-2,0,-2,1,1,8714,0,10436,0,9098,8706,4482,0,487,0,1781,244
req_000045,140000,1,1,2,27,0,-1,-1,-1,-1,-1,31230,32429,29284,29252,26496,27927,20602,21723,17840,17174,22189,14516
req_000046,80000,1,1,2,26,1,0,0,1,2,2,51932,49329,38448,49058,50331,48701,729,20333,4395,1288,10167,1998
req_000047,80000,1,2,1,23,0,-2,-1,-1,-1,0,48149,0,45167,33812,39517,36623,46765,0,12366,25356,27197,14993
req_000048,70000,1,2,1,25,-1,-1,-2,1,0,0,3731,3236,0,3532,4375,4120,1287,1852,0,223,3061,3563
req_000049,60000,1,3,2,23,-1,-1,0,0,0,0,13750,18700,16079,17304,14645,17633,4364,18246,9100,16442,9557,14087
req_000050,80000,1,2,1,29,0,-1,-2,0,0,0,14922,12795,0,9405,11262,9830,6846,5264,0,6993,8532,6893
req_000051,160000,2,1,2,28,0,-1,-2,0,0,0,61652,65835,0,76474,65585,43965,38400,57798,0,18100,62592,24388
req_000052,100000,2,2,1,28,2,0,0,0,1,1,42947,57769,55263,50280,51857,45652,1879,16683,49373,40037,14383,8903
req_000053,40000,1,1,1,26,0,0,-1,-1,-1,0,4654,2725,4500,3807,3669,2562,2323,2508,2366,3261,3164,683
req_000054,160000,2,2,2,22,-1,-2,-1,-1,0,-1,93277,0,73690,75656,81672,68349,52785,0,36229,9718,69295,51619
req_000055,30000,2,2,1,23,0,0,0,0,0,-1,11487,9900,8926,11573,9255,9149,2763,8732,2933,10468,5686,6127
req_000056,280000,1,2,1,27,2,0,0,-2,0,0,252100,181042,253185,0,202406,202433,33803,153913,111117,0,110636,88551
req_000057,40000,2,3,1,27,1,0,0,0,-1,0,21772,33043,25884,29777,32171,24929,1499,18208,5239,17410,27739,8207
req_000058,100000,2,2,1,26,0,-1,-1,-1,-2,0,40061,37141,34860,32102,0,30492,20056,9328,14130,21761,0,10002
req_000059,50000,2,1,1,26,0,-1,-2,0,0,0,18434,21460,0,14359,16315,14918,16375,7881,0,12956,14265,13807
req_000060,150000,2,2,2,28,0,-2,0,0,-1,-1,5377,0,5662,4897,4604,5455,3959,0,3644,4676,300,1745
req_000061,50000,1,2,1,29,-2,0,1,2,0,-2,0,3026,3085,3047,2836,0,0,1981,131,361,1052,0
req_000062,20000,2,2,1,24,1,0,0,1,0,1,13844,10853,12493,16095,13488,8964,1421,8544,10594,2649,10029,2655
req_000063,90000,2,2,1,24,-1,-1,0,0,0,0,47072,58308,46900,39232,38122,38956,38597,42904,23198,28809,20571,8466
req_000064,120000,1,3,2,24,-1,-1,-1,-1,-1,-2,36553,45876,41538,45569,46925,0,23833,18905,16154,41077,27968,0
req_000065,160000,2,1,1,24,-1,0,0,0,-1,0,17969,18682,27515,17227,16603,21215,14971,9740,13832,13752,13869,11980
req_000066,40000,2,2,2,26,0,-2,0,-2,0,0,8114,0,9296,0,9273,7699,6005,0,7016,0,7857,6349
req_000067,110000,1,1,1,28,0,2,0,0,0,-1,36088,46759,39923,30086,26425,30018,8500,3576,38578,9119,24404,26911
req_000068,40000,1,2,3,23,1,1,1,2,-2,2,18210,14207,13961,15655,0,14894,3883,2564,119,924,0,5831
req_000069,70000,1,2,2,28,1,0,0,0,0,0,60412,58911,61844,57703,52073,57727,5545,7870,26140,49471,34834,26636
req_000070,80000,2,1,2,29,0,0,0,-1,-1,-1,64820,57641,37860,60636,58152,43787,16417,48347,7033,59746,34937,30434
req_000071,80000,2,1,1,27,-1,-1,0,0,0,0,26672,34933,37175,37293,37539,30086,18884,24676,26110,16936,31782,12268
req_000072,110000,1,2,1,25,0,1,-2,0,0,2,50482,49825,0,52543,31630,44574,24889,3607,0,17138,15759,3486
req_000073,80000,2,1,1,27,2,2,1,1,0,0,43874,58589,54175,43231,45819,51694,6486,8360,1837,1564,16069,47474
req_000074,70000,2,2,2,25,0,-1,-2,0,-1,-1,3186,4831,0,3931,4524,4489,1303,3274,0,3393,1592,3059
req_000075,70000,2,1,2,23,-1,0,-1,-1,-1,-1,1388,2197,1862,1682,1378,1880,701,1222,1392,1021,1239,1060
req_000076,270000,2,1,2,28,0,0,0,0,0,0,182574,191439,152709,206236,182280,186448,99571,143448,101995,137447,168894,89826
req_000077,80000,2,1,1,25,0,0,0,0,-1,-1,17984,21954,20339,24172,17308,16412,15202,21023,6784,21645,16071,15096
req_000078,60000,2,2,1,29,-1,0,0,1,0,0,13205,13545,14742,15387,12458,8654,1386,8882,7294,6598,7477,1684
req_000079,110000,2,2,1,24,0,-2,0,0,0,-1,46807,0,43831,33690,38053,53575,42798,0,40301,14192,27434,30906
req_000080,140000,2,2,2,26,0,0,0,0,-2,-2,19820,23679,20007,25452,0,0,14157,10150,11370,23941,0,0
req_000081,40000,1,1,2,28,0,0,-1,-1,-1,-1,16730,20129,17710,15838,17570,19555,7805,14387,10188,14281,14315,14352
req_000082,40000,1,2,1,25,-1,0,0,0,0,0,6367,5158,5344,6042,5997,5168,5206,3739,2479,5434,3289,2904
req_000083,130000,2,1,2,27,0,0,0,0,0,0,36093,36874,23469,38024,35483,23856,31523,23712,19550,32666,31261,15225
req_000084,70000,1,2,1,27,1,0,0,-2,0,0,28892,23792,24392,0,25325,24262,4393,7904,8399,0,13345,5568
req_000085,40000,1,3,1,29,-1,-1,-1,0,-1,0,21389,21393,22181,20699,19046,17635,19742,5019,8882,5692,15907,17368
req_000086,50000,2,3,2,22,-1,-1,-1,-1,-2,-1,17296,13021,18589,16213,0,13836,14576,8523,6034,8547,0,10783
req_000087,50000,2,3,2,22,0,-1,-1,-1,-1,-1,11261,9829,10048,11960,11013,9792,8973,7322,5516,7859,6342,6957
req_000088,130000,1,3,1,28,-1,-1,-1,-1,-1,0,96675,78867,103880,121676,102753,73870,87409,6785,45232,84757,82596,46443
req_000089,80000,2,2,1,23,1,0,0,0,0,0,38229,48612,39283,44645,72765,40867,5751,36250,23474,10996,48376,24329
req_000090,200000,2,2,2,25,0,0,-2,-2,-1,-1,42073,43667,0,0,42346,45566,37197,20630,0,0,35682,34182
req_000091,140000,1,2,2,24,-1,-1,-1,-2,0,-1,64179,55764,47490,0,40040,46684,47696,37813,3243,0,37345,15486
req_000092,40000,1,3,1,24,0,0,-2,-2,0,0,13096,13864,0,0,12452,8063,10181,9896,0,0,11135,2917
req_000093,120000,1,2,1,26,-2,0,0,0,2,2,0,15118,14004,16896,20281,14229,0,13437,8345,11336,526,1198
req_000094,80000,1,3,2,23,-1,-1,0,-1,0,-1,54843,49585,59845,43667,48699,41945,52642,40042,9849,12303,40283,26119
req_000095,130000,2,1,2,23,0,0,0,0,-2,2,46101,28470,39018,42457,0,40716,25493,6459,17662,34699,0,296
req_000096,90000,1,3,2,28,1,0,0,0,1,0,57184,67754,84398,47054,62677,61656,14887,66246,67280,39873,12129,24664
req_000097,70000,2,1,2,29,0,0,0,0,-1,-1,3503,3360,2905,3050,3097,3224,2899,870,2607,2121,2137,1905
req_000098,110000,1,2,1,27,1,-2,2,-2,2,1,27437,0,31936,0,26234,22768,6326,0,333,0,8871,776
req_000099,70000,1,2,2,25,1,2,1,-2,0,0,30167,25128,18221,0,20786,22493,1793,178,206,0,16918,17260
req_000100,200000,1,2,1,29,0,0,0,0,0,0,79683,95409,100545,88319,81845,61155,52406,76532,73918,82137,67599,23737
req_000101,500000,1,2,1,28,0,0,1,0,0,0,24934,28891,21797,23949,23845,16394,6833,17705,1385,10364,19294,2308
req_000102,80000,1,2,1,24,-2,2,4,2,0,2,0,3723,2889,3422,2981,3784,0,525,46,661,1800,575
req_000103,310000,1,2,2,24,0,1,0,0,-1,-1,168383,169530,170686,193258,134803,161172,144878,19817,157031,172048,35275,122814
req_000104,40000,2,2,2,27,1,0,-2,0,0,1,14304,16302,0,13510,13241,12757,1453,14527,0,5807,11700,1014
req_000105,110000,1,1,2,24,0,-2,0,0,-1,0,27664,0,28835,32071,28517,29878,7898,0,14982,14596,22712,18879
req_000106,70000,2,1,1,28,0,1,1,1,2,1,25549,23185,22073,25780,17505,24143,6479,1158,1242,2649,254,1359
req_000107,100000,1,2,2,26,0,0,0,0,0,0,18847,18992,20202,17739,20647,19927,12703,10068,16147,3170,19145,13713
req_000108,80000,2,2,1,29,0,-1,0,0,-1,-1,15323,17500,16543,13061,13748,11562,8415,16302,12341,6586,11439,9142
req_000109,100000,2,2,2,22,1,0,0,-1,-1,0,19318,19884,15008,17612,15655,14581,2947,3543,8270,14519,13734,12672
req_000110,120000,1,4,2,28,0,0,0,-2,-1,-1,28519,34758,27272,0,25852,23894,11545,16715,20198,0,6268,23430
req_000111,30000,2,1,2,26,2,1,-2,1,-2,0,19113,13615,0,16194,0,14732,400,367,0,366,0,798
req_000112,290000,2,1,2,27,1,2,1,0,0,-1,228482,266403,254060,285008,182323,277794,12572,4825,22071,215268,134069,169703
req_000113,150000,1,2,1,26,0,-2,0,1,2,2,44254,0,29939,32896,30822,40581,20458,0,29662,14641,1345,1668
req_000114,70000,2,2,2,28,-1,0,0,-2,-1,-2,3243,4197,4230,0,3385,0,1983,2232,3328,0,1766,0
req_000115,110000,1,2,2,29,-2,0,0,0,0,0,0,11840,14812,13304,12795,12346,0,5564,13050,7073,6839,6372
req_000116,120000,2,2,2,25,1,0,0,-2,1,0,32145,25673,26250,0,25380,23606,1182,16417,20349,0,5688,22478
req_000117,180000,2,1,1,25,-2,-1,-1,0,-1,-2,0,57586,32766,55979,42730,0,0,22901,19596,26484,17492,0
req_000118,70000,2,3,2,24,1,2,2,-2,0,0,21602,17490,17472,0,18659,18273,1092,1063,1690,0,9289,15815
req_000119,80000,1,1,2,26,0,1,0,0,0,0,7089,5598,4493,7153,4279,6102,5028,769,2822,5914,3064,3026
req_000120,150000,2,2,2,26,-1,-2,0,0,-1,0,79415,0,58740,76029,82797,71436,47520,0,26871,55461,39231,49987
req_000121,140000,2,1,2,29,0,0,0,0,0,0,10746,14521,9427,10932,11451,10766,9430,5993,1707,8145,8408,3103
req_000122,120000,1,2,1,29,-1,0,-2,0,0,0,69456,49814,0,37277,54905,55917,53666,35874,0,23000,9767,46942
req_000123,100000,2,3,2,25,0,0,0,-2,0,0,24568,37093,27058,0,30860,23351,20109,32046,24537,0,3417,14380
req_000124,50000,2,1,1,29,0,-2,-1,0,0,1,25159,0,23619,27877,27216,18949,16618,0,20278,9228,25432,338
req_000125,110000,1,1,1,27,0,-1,-1,-1,0,0,32905,36215,42855,25140,36637,27993,23651,34329,36970,22235,13502,23851
req_000126,80000,1,1,1,29,1,1,1,0,0,0,53493,54079,48617,49331,49007,42969,2563,8528,5263,22316,22511,30383
req_000127,150000,1,1,1,29,0,-2,0,0,0,0,60232,0,66700,57851,63715,52643,36880,0,58935,32466,46298,18773
req_000128,110000,2,2,2,28,0,0,-2,0,-2,-1,61420,58300,0,61643,0,54461,42769,33159,0,31086,0,47105
req_000129,150000,1,2,1,27,1,-2,2,1,1,2,52691,0,58011,65319,45557,51030,1153,0,10217,76,25621,7039
req_000130,90000,1,1,2,24,0,0,0,0,0,1,20881,24823,27662,16557,20900,20986,7766,11956,11685,11311,15877,4401
req_000131,150000,1,3,2,27,1,0,0,0,0,0,30993,26665,26219,31188,25691,26531,366,13436,4899,23621,15692,7044
req_000132,50000,1,1,2,28,-1,-1,-1,0,0,0,30356,16883,24111,22598,22935,24902,16348,7524,14469,15780,20022,9994
req_000133,60000,2,2,1,28,0,0,0,-1,-1,-1,8579,6078,7050,6345,7935,6951,2172,2208,5263,1446,5161,4894
req_000134,50000,1,3,1,23,-1,0,0,0,1,0,45206,41225,41840,38628,43481,33888,35768,37294,17528,38106,8613,27937
req_000135,100000,1,2,2,25,0,0,0,-2,-1,0,94623,75348,81653,0,73865,97754,32329,24090,43536,0,30238,65939
req_000136,170000,1,1,2,26,0,0,1,0,0,0,22052,18664,15678,20574,19911,20107,17801,9278,1857,14929,5802,10789
req_000137,60000,1,1,1,24,0,0,0,0,0,0,10959,13006,10491,11731,9904,11842,8386,9582,10119,3493,8323,10643
req_000138,270000,1,2,2,24,0,-1,0,-1,0,-1,75978,56635,76164,68566,52625,56960,58657,27844,31031,31272,30033,18559
req_000139,100000,1,3,2,27,-1,-1,-1,0,0,0,11082,9937,11711,12458,13342,7435,10302,7650,9585,6425,3339,5709
req_000140,40000,1,2,2,24,0,0,0,0,1,0,23848,24799,24950,22374,19261,16166,17501,19243,20470,4675,1738,13103
req_000141,60000,2,2,2,27,0,-1,-1,-1,-1,-2,19395,22405,19323,20474,20470,0,14512,18242,11280,17753,6450,0
req_000142,140000,1,1,2,28,2,2,1,1,0,0,24462,14783,20308,21113,18728,24111,3530,2756,560,4251,14024,19518
req_000143,330000,2,3,2,26,0,0,-2,0,0,0,172382,271954,0,212551,194403,137801,54092,107465,0,124211,142206,125027
req_000144,140000,1,2,1,22,0,0,-1,0,0,-1,23700,23903,26744,18847,22454,19220,16891,17045,5690,12374,16965,14559
req_000145,80000,1,3,2,27,-1,-1,-1,-2,-1,0,45875,46382,53371,0,41378,44405,35892,10282,46879,0,21445,17083
req_000146,110000,2,1,1,27,0,0,0,0,0,0,25076,26262,25380,25573,26481,22564,17212,24160,21341,14124,25635,18750
req_000147,60000,1,1,2,29,0,0,0,0,0,1,7865,9136,8646,9861,9636,7844,7231,3211,7216,6129,1658,635
req_000148,90000,2,2,1,26,0,0,1,0,0,0,14452,10017,15800,12765,12961,13291,5656,9868,514,8054,11882,9894
req_000149,70000,2,2,1,26,0,-1,0,0,0,0,12553,12449,10374,11513,9599,13196,8577,4729,4307,3138,4470,9730
req_000150,30000,1,1,2,26,-1,0,0,0,0,0,1114,857,1029,765,946,786,986,457,482,155,700,220
req_000151,620000,1,1,1,26,-1,-1,0,-2,0,-1,41630,53183,42458,0,37394,27217,34753,16002,35555,0,22809,9038
req_000152,280000,1,2,1,27,-1,-2,-1,0,0,-1,108302,0,117721,113292,89924,119128,60754,0,85041,75374,45576,94743
req_000153,60000,1,2,2,28,0,0,0,1,1,1,5260,5529,5894,4302,4481,4470,4558,5468,5116,57,280,786
req_000154,80000,2,2,1,29,2,2,1,0,0,-1,23585,40318,37013,34668,39827,28023,2602,3018,732,25316,30184,21781
req_000155,60000,2,1,2,25,2,2,1,1,0,3,32126,30548,22010,25452,32253,29522,5683,1292,1259,2410,23152,3081
req_000156,180000,1,2,2,24,-1,0,0,-2,0,-1,63528,66045,75529,0,53790,62748,56103,49071,32679,0,48500,3400
req_000157,20000,1,2,2,27,1,0,0,0,0,-2,5088,7973,5198,6502,4567,0,476,6345,4942,2459,1909,0
req_000158,70000,1,1,1,28,0,1,1,1,2,-2,12221,10953,12016,15560,13585,0,3719,165,759,1650,2682,0
req_000159,70000,1,3,2,24,0,0,1,-2,0,-2,22566,25566,21395,0,15703,0,20884,4550,935,0,7708,0
req_000160,90000,1,1,2,27,-2,0,0,-2,0,0,0,46312,56302,0,52275,53839,0,18210,16267,0,40063,32323
req_000161,50000,2,2,2,24,1,0,0,0,0,0,13407,16348,16518,15176,12679,12993,421,8272,11732,7814,4421,10016
req_000162,70000,2,3,2,24,-1,-1,-1,0,0,0,18499,21171,14372,21164,14371,18607,5831,12203,4667,3292,8899,13398
req_000163,40000,1,1,2,29,0,1,0,0,0,0,16132,20371,16992,20927,19697,13615,8930,975,11256,19539,18948,8840
req_000164,90000,2,3,3,24,0,0,-2,-2,0,0,20709,24026,0,0,15916,16394,7410,14920,0,0,6513,12572
req_000165,30000,1,2,2,23,0,-2,3,2,2,1,6481,0,7744,4149,6240,6859,3710,0,754,42,354,2595
req_000166,80000,2,1,2,26,0,2,1,0,0,0,20217,23356,16258,20940,21588,16360,13428,1317,47,17956,7043,1169
req_000167,30000,1,1,2,26,0,-1,-1,0,-2,-2,10049,7986,9815,9022,0,0,8808,4273,6755,6182,0,0
req_000168,90000,1,2,1,26,1,2,1,0,0,0,35548,32225,32347,33718,26424,29521,8141,2540,248,15805,21232,11199
req_000169,90000,2,1,2,27,0,-2,0,-1,-2,-2,26909,0,16507,23283,0,0,7705,0,11300,15460,0,0
req_000170,180000,1,1,1,29,0,0,1,0,1,1,50145,47706,61390,38055,43890,48477,39485,11042,1740,37544,5067,11814
req_000171,40000,1,1,2,26,-2,-2,1,0,0,0,0,0,7190,8048,6747,7171,0,0,642,1738,3437,2590
req_000172,40000,1,1,2,27,2,1,0,-2,2,-2,30668,27902,42522,0,28330,0,1519,1159,19730,0,3122,0
req_000173,110000,2,1,2,24,1,0,0,-1,-1,-1,72285,77863,79814,79570,68891,66292,1986,55058,19502,66048,34454,46859
req_000174,110000,2,2,1,29,0,0,0,0,-1,0,53077,43806,44538,47346,45819,40453,7815,41518,13956,28382,11533,29746
req_000175,240000,1,1,2,22,-1,0,0,-1,-1,-1,20195,16957,18367,14376,15831,18575,15191,14702,9489,11607,5231,6262
req_000176,60000,1,1,1,23,0,-2,0,0,-2,0,21822,0,21775,14502,0,21278,17022,0,10569,9098,0,9188
req_000177,240000,2,2,2,23,0,0,0,0,0,-1,128905,120625,89250,102092,102728,90800,108711,81984,57964,51731,35547,54696
req_000178,100000,1,3,2,26,-1,0,0,0,-1,0,70504,58551,52445,67846,73479,56175,32122,45513,34301,65715,50621,46123
req_000179,90000,1,1,1,21,0,0,0,1,0,-1,22618,21406,18379,23378,21758,23244,7487,8701,3464,3856,20157,18437
req_000180,100000,2,3,2,28,1,1,-2,0,0,-1,38961,33958,0,47166,42645,30034,6758,2108,0,10416,39395,24019
req_000181,270000,2,2,1,28,0,0,0,-2,0,0,22710,25313,28262,0,25666,25352,5995,18820,14374,0,24479,18139
req_000182,130000,2,1,1,26,0,0,0,0,0,-2,18498,16782,21702,17165,24757,0,8311,11972,7971,2561,20456,0
req_000183,50000,2,3,1,27,-1,-1,0,0,0,0,856,746,588,921,799,1091,694,424,383,703,296,620
req_000184,160000,2,2,1,27,0,0,-2,-1,-1,-1,110694,99894,0,104802,75064,76272,41586,83892,0,81501,44117,36421
req_000185,160000,1,2,2,26,0,0,1,1,0,0,46322,51039,38219,50437,38037,40625,23774,9817,3483,355,22128,5359
req_000186,60000,2,1,2,28,0,0,0,1,0,0,2465,1754,1693,2082,1854,1549,466,1354,362,96,982,415
req_000187,180000,2,2,2,28,-1,-1,0,0,0,0,77658,81156,91686,72335,74768,87349,49922,10051,44844,20843,28469,62425
req_000188,20000,1,2,1,25,0,0,0,0,2,2,8694,8502,7196,8458,11009,8574,7020,6487,5036,4776,679,1147
req_000189,120000,2,2,2,24,0,1,0,1,1,0,61948,74615,67320,55078,50233,45607,50548,12724,21554,28384,17256,22651
req_000190,80000,1,3,1,29,2,2,0,1,2,2,46966,54026,61431,46872,53203,50648,6613,4287,30938,1071,15225,1441
req_000191,90000,1,1,3,27,0,-1,0,-1,-1,-1,25079,19536,28322,20777,24039,28361,9603,6303,9868,14582,23873,23414
req_000192,100000,2,2,1,25,0,0,-1,0,-1,-1,33438,26140,24390,23939,28252,34017,31617,23327,20351,14688,17111,14535
req_000193,500000,1,1,1,29,2,0,0,-1,0,-1,264309,364133,243483,273176,305904,297924,47095,316286,221908,196857,234976,219872
req_000194,220000,2,2,1,25,-2,0,0,0,1,0,0,83513,95205,83175,80477,66374,0,67526,82333,68879,5452,48529
req_000195,180000,2,2,2,28,0,0,0,0,0,1,34222,35332,39554,36717,30250,31298,20104,33936,25472,21326,10581,1475
req_000196,170000,2,2,2,27,0,0,1,0,0,0,50623,41182,49865,55040,53294,37680,42728,17916,1437,44636,18047,14911
req_000197,110000,2,2,1,27,0,0,-1,-1,0,0,41125,37025,38992,33534,35596,36166,14372,30741,35483,10250,29439,28088
req_000198,240000,1,1,1,28,0,0,-1,0,-1,-1,90738,107615,85052,85471,84660,77786,53953,96913,17939,58418,36530,58569
req_000199,180000,1,1,2,27,0,0,0,0,-1,-1,17038,18674,11855,12147,17913,14990,8833,14998,7972,7194,4961,12161
req_000200,50000,2,3,2,29,0,0,0,0,0,-1,28449,28700,31468,29684,30782,20640,25145,10837,7441,26485,20866,7441
req_000201,80000,1,2,2,26,-2,0,1,0,0,0,0,9771,9942,12446,9741,11829,0,5348,199,7902,4396,10173
req_000202,100000,1,2,2,28,0,-1,0,0,-1,0,24883,23645,27979,18078,25991,21404,13318,14115,21613,14171,17102,10245
req_000203,410000,2,1,2,25,-1,0,-2,-1,0,-1,67437,59531,0,57508,49806,53955,55742,20007,0,7028,46216,42649
req_000204,100000,2,1,1,25,0,-1,-2,-1,-1,-1,55337,52992,0,42850,51645,48407,46033,28448,0,41372,23282,14791
req_000205,20000,2,2,2,29,0,1,2,2,0,0,2544,3713,3458,4621,2727,3995,1506,99,350,781,1233,3028
req_000206,20000,2,3,1,28,0,0,-2,0,0,2,12284,13120,0,10517,9543,11680,3218,11223,0,6967,6108,24
req_000207,100000,2,2,3,28,-1,0,-1,0,0,0,5312,7916,6401,6287,6155,7558,4431,4057,2015,4445,3577,3191
req_000208,260000,1,2,1,26,1,-2,2,2,3,3,201935,0,188052,157815,164643,148288,4397,0,26213,28420,56431,10597
req_000209,50000,2,2,2,24,1,-2,1,1,1,-2,36271,0,27288,24539,15556,0,351,0,208,2805,2132,0
req_000210,50000,2,1,1,24,1,0,0,0,0,-1,15356,18882,20601,9436,13684,11906,2749,9582,18465,5701,11857,11318
req_000211,360000,2,2,2,29,-2,0,0,0,0,-1,0,86929,95231,102864,81291,91736,0,19195,51558,79712,65420,85580
req_000212,250000,2,1,1,28,0,0,-1,0,-1,-1,66666,74452,49418,64097,62571,66616,52922,63004,14982,37747,15014,37452
